date,time,away_team,away_score,home_team,home_score,venue,season,type
2025-02-16,Final,Minnesota,2,Boston,4,Tsongas Center,2025,regular
2025-02-16,Final OT,Toronto,3,Ottawa,2,Rogers Place,2025,regular
2025-02-17,Final,Boston,4,New York,1,Prudential Center,2025,regular
2025-02-18,Final,Minnesota,4,Montréal,0,Place Bell,2025,regular
2025-02-19,Final,Toronto,4,New York,1,Prudential Center,2025,regular
2025-02-20,Final OT,Boston,3,Ottawa,2,TD Place,2025,regular
2025-02-22,Final,Montréal,1,Ottawa,3,TD Place,2025,regular
2025-02-23,Final,Toronto,2,Minnesota,1,Xcel Energy Center,2025,regular
2025-02-23,Final SO,Boston,3,New York,2,KeyBank Center,2025,regular
2025-02-25,Final,Toronto,1,Montréal,3,Place Bell,2025,regular
2025-02-26,Final OT,New York,4,Ottawa,5,TD Place,2025,regular
2025-03-01,Final OT,Boston,2,Montréal,3,Bell Centre,2025,regular
2025-03-04,Final SO,Minnesota,1,Montréal,2,Place Bell,2025,regular
2025-03-05,Final,New York,2,Boston,5,Tsongas Center,2025,regular
2025-03-06,Final,Montréal,1,Toronto,4,Coca-Cola Coliseum,2025,regular
2025-03-07,Final,Ottawa,0,Minnesota,5,Lenovo Center,2025,regular
2025-03-08,Final OT,Montréal,3,Boston,2,Agganis Arena,2025,regular
2025-03-09,Final OT,Minnesota,2,Toronto,1,Coca-Cola Coliseum,2025,regular
2025-03-11,Final,Minnesota,2,Ottawa,3,TD Place,2025,regular
2025-03-12,Final OT,Montréal,2,New York,3,Prudential Center,2025,regular
2025-03-15,Final,Boston,5,Ottawa,2,TD Place,2025,regular
2025-03-16,Final,Minnesota,1,New York,4,Little Caesars Arena,2025,regular
2025-03-18,Final SO,Montréal,2,Boston,3,Tsongas Center,2025,regular
2025-03-19,Final,New York,1,Toronto,2,Coca-Cola Coliseum,2025,regular
2025-03-22,Final,Ottawa,5,New York,2,Prudential Center,2025,regular
2025-03-23,Final,Toronto,2,Montréal,1,Place Bell,2025,regular
2025-03-25,Final,New York,6,Ottawa,3,TD Place,2025,regular
2025-03-26,Final,Toronto,4,Boston,2,Agganis Arena,2025,regular
2025-03-26,Final,Montréal,4,Minnesota,1,Xcel Energy Center,2025,regular
2025-03-29,Final,Ottawa,2,Boston,1,Enterprise Center,2025,regular
2025-03-30,Final,Toronto,2,Minnesota,5,Xcel Energy Center,2025,regular
2025-04-01,Final,New York,1,Montréal,0,Place Bell,2025,regular
2025-04-02,Final,Ottawa,4,Boston,0,Tsongas Center,2025,regular
2025-04-26,TBD,New York,0,Minnesota,0,Xcel Energy Center,2025,regular
2025-04-26,12:00 pm EDT,Montréal,0,Ottawa,0,TD Place,2025,regular
2025-04-26,2:00 pm EDT,Toronto,0,Boston,0,Tsongas Center,2025,regular
2025-04-28,7:00 pm EDT,Boston,0,Montréal,0,Place Bell,2025,regular
2025-04-29,7:00 pm EDT,New York,0,Toronto,0,Coca-Cola Coliseum,2025,regular
2025-04-30,7:00 pm EDT,Minnesota,0,Ottawa,0,TD Place,2025,regular
2025-05-02,TBD,Montréal,0,New York,0,Prudential Center,2025,regular
2025-05-03,12:00 pm EDT,Ottawa,0,Toronto,0,Coca-Cola Coliseum,2025,regular
2025-05-03,1:00 pm EDT,Minnesota,0,Boston,0,Tsongas Center,2025,regular
