date,time,away_team,away_score,home_team,home_score,venue,season,type
3/6/2025,7:00 pm EST,Montréal,,Toronto,,Coca-Cola Coliseum,2025,regular_season
3/7/2025,TBD,Ottawa,,Minnesota,,TBD,2025,regular_season
3/8/2025,TBD,Montréal,,Boston,,TBD,2025,regular_season
3/9/2025,1:00 pm EDT,Minnesota,,Toronto,,Coca-Cola Coliseum,2025,regular_season
3/11/2025,7:00 pm EDT,Minnesota,,Ottawa,,TD Place,2025,regular_season
3/12/2025,7:00 pm EDT,Montréal,,New York,,Prudential Center,2025,regular_season
3/15/2025,2:00 pm EDT,Boston,,Ottawa,,TD Place,2025,regular_season
3/16/2025,TBD,Minnesota,,New York,,TBD,2025,regular_season
3/18/2025,7:00 pm EDT,Montréal,,Boston,,Tsongas Center,2025,regular_season
3/19/2025,7:00 pm EDT,New York,,Toronto,,Coca-Cola Coliseum,2025,regular_season
3/22/2025,12:00 pm EDT,Ottawa,,New York,,Prudential Center,2025,regular_season
3/23/2025,12:00 pm EDT,Toronto,,Montréal,,Place Bell,2025,regular_season
3/25/2025,7:00 pm EDT,New York,,Ottawa,,TD Place,2025,regular_season
3/26/2025,TBD,Toronto,,Boston,,TBD,2025,regular_season
3/26/2025,7:00 pm CDT,Montréal,,Minnesota,,Xcel Energy Center,2025,regular_season
3/29/2025,TBD,Ottawa,,Boston,,TBD,2025,regular_season
3/30/2025,12:00 pm CDT,Toronto,,Minnesota,,Xcel Energy Center,2025,regular_season
4/1/2025,7:00 pm EDT,New York,,Montréal,,Place Bell,2025,regular_season
4/2/2025,7:00 pm EDT,Ottawa,,Boston,,Tsongas Center,2025,regular_season
4/26/2025,TBD,Toronto,,Boston,,Tsongas Center,2025,regular_season
4/26/2025,TBD,Montréal,,Ottawa,,TD Place,2025,regular_season
4/26/2025,TBD,New York,,Minnesota,,Xcel Energy Center,2025,regular_season
4/28/2025,TBD,Boston,,Montréal,,Place Bell,2025,regular_season
4/29/2025,7:00 pm EDT,New York,,Toronto,,Coca-Cola Coliseum,2025,regular_season
4/30/2025,TBD,Minnesota,,Ottawa,,TD Place,2025,regular_season
5/2/2025,TBD,Montréal,,New York,,Prudential Center,2025,regular_season
5/3/2025,TBD,Minnesota,,Boston,,Tsongas Center,2025,regular_season
5/3/2025,TBD,Ottawa,,Toronto,,Coca-Cola Coliseum,2025,regular_season
12/4/2023,Final OT,Toronto,5,Boston,2,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/4/2023,Final SO,Ottawa,4,Minnesota,8,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/4/2023,Final SO,Montréal,0,New York,4,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/5/2023,Final OT,Minnesota,5,Toronto,4,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/5/2023,Final OT,Boston,1,Montréal,3,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/5/2023,Final SO,New York,2,Ottawa,1,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/7/2023,Final,Montréal,3,Minnesota,4,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/7/2023,Final OT,New York,6,Toronto,4,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
12/7/2023,Final OT,Ottawa,1,Boston,3,Utica University Nexus Center - Mastrovito Hyundai,2024,preseason
